,Company Name,Job Description,Job Title,Location,Salary
9949,"


    Smith Hanley Associates
","
Data Scientist Responsibilities:. Use programming languages to analyze data. Expert in data mining and marketing analytics....","
Data Scientist
",Los Angeles,"$100,000 - $140,000 a year"
9950,"

    tronc
","
We are looking for a Senior Data Scientist to join a newly formed data science and engineering team at tronc in our Los Angeles office....","
Sr. Data Scientist
",Los Angeles,
9951,"


    Areté Associates
","
Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...","
Computational Scientist
",Los Angeles,
9952,"

    Kite Pharma, Inc.
","
You will report to a Scientist. Excellent skill in Microsoft word, Excel and data analysis. Kite is a biopharmaceutical company engaged in the development of...","
Research Associate, Immunoassay
",Los Angeles,
9953,"

    Kite Pharma, Inc.
","
Excellent skill in Microsoft word, Excel and data analysis. He/she will be responsible to plan and execute experiments, analyze experimental data, carefully...","
Research Associate, Bioassay
",Los Angeles,
9954,"


    General Assembly
","
Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...","
Part Time Data Science Instructor
",Los Angeles,
9955,"


    Cedars-Sinai
","
Demonstrated aptitude to perform experimental protocols and procedures, including detailed data collection, and analysis....","
Postdoctoral Scientist - Neuroscience
",Los Angeles,
9956,"


    AT&T
","
With key data warehousing processes. And data required to drive those processes. Using data warehouse or analytical tools for business purposes....","
Senior-Data Analysis - BUSINESS INTELLIGENCE
",Los Angeles,
9957,"

    Hyperloop One
","
The Data Scientist will be part of the Machine Intelligence and Analytics team. Design and create data mining architectures/models/protocols, statistical...","
Senior Data Scientist, Machine Intelligence
",Los Angeles,
9958,"


    SDL
","
Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the....","
Research Scientist
",Los Angeles,
9960,"


    City National Bank
","
Must have quantitative analysis, financial analysis and data management experience. .Addresses gaps and helps develop CCAR-level portfolio segmentation for PPNR...","
Senior Quantitative Analyst CCAR
",Los Angeles,
9961,"

    tronc
","
Data scientists in order to deliver an efficient application iteratively and on schedule. We are looking for a Software Engineer to join our dynamic team and...","
Software Engineer
",Los Angeles,
9962,"


    USC
","
Collect and format data for special projects and management studies and/or review data gathered by others for accuracy....","
Accounting Technician
",Los Angeles,
9963,"


    Jet Propulsion Laboratory
","
Document scientific data products and develop user training. As a member of the Tropospheric Composition Group (329I) in the Earth Science Section, you will...","
Scientific Applications Software Engineering II
",Los Angeles,
9966,"

    Convertro
","
Minimum of 3 years experience developing enterprise scale big data systems and working with big data technologies....","
Senior Data Scientist
",Los Angeles,
9967,"

    Kaleo Software
","
The skills to comb through numerous amounts of data. You will be combing through or clients data and organizing it to the best of your ability....","
Research Analyst
",Los Angeles,
9968,"


    Areté Associates
","
Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...","
Research Scientist
",Los Angeles,
9969,"


    USC
","
ISI welcomes applications from computer scientists in any of the following areas:. ISI scientists have the opportunity to spend the majority of their time doing...","
Computer Scientist - Artificial Intelligence
",Los Angeles,
9971,"


    Gavin de Becker & Associates
","
Mission & Service Los Angeles, CA Gavin de Becker & Associates is a dynamic security firm innovating threat assessment and public figure protection.","
Investigations & Research Analyst
",Los Angeles,"$40,000 - $45,000 a year"
9973,"


    USC
","
Supervises data entry/programming staff. Performs data management and statistical analysis for complex research projects....","
Statistician II
",Los Angeles,"$56,250 - $99,999 a year"
9974,"


    Jet Propulsion Laboratory
","
Will be a member of the Instrument and Science Data System Operations Group. Experience with interfacing with scientists and engineers or instrument and...","
Instrument Operations Engineer I
",Los Angeles,
9975,"


    Netflix
","
Transform the way our marketers consume data and insights through highly usable and visually stunning data products....","
Senior Analytics Staff, Consumer and Social Media
",Los Angeles,
9976,"

    HERO.jobs
","
They need a Lead or Principal level Data Scientist who is an expert with Neural Networks and Machine Learning to work with a talented team based near Culver...","
Principal Data Scientist
",Los Angeles,"$200,000 a year"
9978,"


    OLYMPIA MEDICAL CENTER
","
Assist in data collection in Point of Care Program. Assist the Clinical Laboratory Scientist in the pre-analytic and post-analytic phase of testing, following...","
Laboratory Assistant (Per Diem)
",Los Angeles,
9980,"

    Roc
","
I am currently looking for a Senior Data Scientist to join a rapidly growing company based in LA. (Roc Search, Web, Ruby, Ruby on Rails, Rails, HTML, CSS,...","
Senior Data Scientist needed - Los Angeles
",Los Angeles,
9982,"


    The Aerospace Corporation
","
Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....","
Administrative Specialist
",Los Angeles,
9983,"

    Tribogenics
","
Acquire test data using LabView based systems and make modifications to data acquisition systems. An inclination toward backing up theoretical understanding...","
Radiation Physicist
",Los Angeles,
9985,"


    The Aerospace Corporation
","
Candidate must be able to maintain accurate test data and perform general laboratory upkeep duty. Our state-of-the-art laboratory facilities are staffed by some...","
MTS - Energy Technology Scientist
",Los Angeles,
9986,"


    Arete Associates
","
Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...","
Computational Scientist
",Los Angeles,"$80,000 - $89,000 a year"
9989,"


    Turner
","
That extract data from primary and syndicated sources. Responsibilities for this position include pulling and analyzing viewing and consumer data from multiple...","
Analyst, TNT Content Research & Viewer Insight
",Los Angeles,
9990,"

    Bachem Inc
","
The QC Scientist I is responsible for raw materials, in-process material and final product testing to ensure compliance with current GMP rules and regulations....","
Quality Control Scientist I
",Los Angeles,
9991,"


    Samsung Semiconductor, Inc.
","
JOB TITLE Sr. Machine Learning Research Scientist Requisition ID DSA31231 OVERVIEW The qualified individual will be responsible for hands-on technology...","
Sr. Machine Learning Research Scientist
",Los Angeles,
9992,"


    Thermo Fisher Scientific
","
The Scientist III, Bioinformatics provides data-analytical services for R&D, process and create technical specifications for product designs, perform data...","
Sr. Bioinformatics Scientist
",Los Angeles,
9993,"


    The Aerospace Corporation
","
Identify and integrate corporate data sources into enterprise search. Work with data owners and end users to identify and address new search requirements....","
Search Engineer
",Los Angeles,
9994,"


    BCG Digital Ventures
","
Proven track record of hiring, managing, and working with multi-disciplinary teams (Engineers, data scientist, developers, designers etc) and mentoring talent....","
Head of DevOps
",Los Angeles,
9995,"

    Tinder
","
We are looking for a Natural Language Processing Scientist to help us explore a vast amount of data and derive knowledge from that data that can be used to...","
Natural Language Processing Scientist
",Los Angeles,
9996,"


    Pharmavite LLC
","
Strong engineering fundamentals and familiarity with experimental design and statistical data analysis. Collaborates with all scientists and engineers in R&D,...","
Process Development Engineer
",Los Angeles,
9997,"

    nuTonomy
","
Deep learning applied to images or video data. We are seeking highly talented Computer Vision Research Scientists focused on computer vision & machine learning...","
Computer Vision - Research Scientist
",Los Angeles,
9998,"

    Tastemade
","
Data is the biggest focus area at Tastemade right now. 5+ years experience working with and analyzing large data sets to solve problems....","
Machine Learning Engineer
",Los Angeles,
9999,"


    Netflix
","
Hunger to continue developing as a data scientist. However, data scientists may also find themselves utilizing descriptive analytics, crowdsourcing, causal...","
Senior Data Scientist, Content Science & Algorithms
",Los Angeles,
10001,"

    Oben
","
As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of Machine Learning and Natural","
Machine Learning Engineer
",Los Angeles,
10003,"


    Western Asset Management
","
Sourcing, validation and scrubbing of source data; The QIS Analyst uses traditional statistical and machine learning data science methods applied to time series...","
Quantitative Investment Solutions Analyst
",Los Angeles,
10005,"

    HKS, Inc.
","
Performs word processing and data entry, as required. HKS is a team of more than 1,300 architects, interior designers, urban designers, scientists, artists,...","
Project Coordinator
",Los Angeles,
10006,"


    Louisiana State Government
","
Broad review from an Environmental Health Scientist Supervisor. Interprets, analyzes and evaluates environmental health data using statistical computer programs...","
Environmental Health Scientist Coordinator
",Los Angeles,"$3,051 - $6,072 a month"
10007,"


    Childrens Hospital Los Angeles
","
T he Research Cont racts Analyst is part of The Saban Research Institute's (TSRI) Clinical Research and Pre Award team, primarily responsible for contract","
Research Contract Analyst
",Los Angeles,
10008,"


    Connexity
","
Minimum of 3 years relevant analytic work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep...","
Sr. Machine Learning Engineer
",Los Angeles,
10009,"

    Langan Engineering and Environmental Services, Inc...
","
Langan has an opening for an Environmental Engineer, Scientist or Geologist with 3-5 years of related environmental experience in our Los Angeles, CA office....","
Environmental Engineer, Scientist or Geologist - 3 to 5 Year...
",Los Angeles,
10011,"


    Miller Kaplan Arase LLP
","
A comprehensive understanding of data analysis techniques. Responsibilities & Job Duties Include:....","
Data Analysis Coordinator/Customer Support
",Los Angeles,
10012,"


    UDig
","
Leading conversations with client data owners and media agency partners to understand strategy through data and identify data attributes critical to our...","
Senior Data Strategy Analysts
",Los Angeles,
10013,"


    Wollborg Michelson Recruiting
","
Associate Scientist, Pharmacology. Processing of samples, data collection and analysis (+4 colors). When required present the data at project team meetings and...","
Associate Scientist-Contract
",Los Angeles,$40 an hour
10014,"


    Cedars-Sinai
","
Provides assistance with preparation of flow cytometry data for publication (ad hoc data analysis). You will also be required to provide technical expertise and...","
Flow Cytometer Operator
",Los Angeles,
10015,"


    ABBOTT LABORATORIES
","
We are seeking an experienced, high caliber Scientist to serve as a Subject Matter Expert (SME) in the areas of medical device polymers, adhesives, drug elution...","
Senior Scientist - Materials Technology
",Los Angeles,
10016,"


    UCLA Health
","
A physician's presence is required, complex equipment is used (MRI scanners, power injectors, pulse oximetry devices 3D workstations for post processing of scan...","
Sr. MRI Technologist
",Los Angeles,
10017,"

    Talent Merchants
","
Job description: Well funded, non-diluted, medical image analysis startup that has developed powerful retinal image diagnostic platform for screening","
Computer Vision and Deep Learning Scientist
",Los Angeles,
10018,"


    3M
","
3M is seeking a Biometric Research Scientist for the Traffic Safety and Security Division, Identity Management Business located in Pasadena, California....","
Biometric Research Scientist* (Pasadena, CA)
",Los Angeles,
10019,"

    All-In Analytics
","
SENIOR DATA SCIENTIST. 10+ years as Data Scientist in a delivery oriented environment after advanced degree Experience with Property & Claims Insurance or...","
Senior Data Scientist
",Los Angeles,"$125,000 - $150,000 a year"
10023,"

    ObEN
","
Your responsibilities:  - As a member of the deep learning team, you will design, develop, configure and optimize deep neural networks for various tasks","
Deep Learning Scientist
",Los Angeles,
10024,"


    DiaSorin
","
R&D Senior Scientist. Direct a group of scientists and technicians. Produces and analyzes data for publication and presentation at scientific meetings....","
R&D – Senior Scientist
",Los Angeles,
10025,"

    Lighthouse Recruiting
","
Join our Medical Laboratory Scientists Groups:. Expert in the quantitation of LC/MS data including the QA rules required to demonstrate accuracy and validity of...","
Research and Development Scientist
",Los Angeles,
10027,"


    AT&T
","
If you love data, we’ve got it! No other business has the suite of data we have. We have a dynamic team of seven people focused on customer interactions...","
Sr. Advanced Analytics, DIRECTV NOW
",Los Angeles,
10028,"


    Kaiser Permanente
","
Collect and report quality indicator data; Under immediate supervision work rotations are performed in all areas of a full service genetic lab for a specialized...","
Cytogenetic Technologist
",Los Angeles,
10030,"


    Analytic Recruiting
","
Integration of internal market data and risk systems, creating customized risk management analytics, and monitoring position & profit/loss reconciliation....","
Quantitative Risk Analyst (SQL, Visual Studio)-Fixed Income...
",Los Angeles,
10032,"


    The Aerospace Corporation
","
Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Maintains information and data regarding end-user issues...","
Information Assurance Specialist II
",Los Angeles,
10034,"


    USC
","
The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and...","
Postdoctoral Scholar Research Associate
",Los Angeles,"$48,000 - $70,000 a year"
10035,"

    INTERA
","
Interpretation of soil and groundwater data. Analyzing aerial photographs, well logs, and other data sources....","
Water Resources Certified Professional
",Los Angeles,
10037,"

    Los Angeles County Human Resources
","
Experience with data management. Specific tasks include developing and documenting data processing procedures, and protocols with specific data validation...","
RESEARCH ANALYST III, BEHAVIORAL SCIENCES
",Los Angeles,
10038,"


    California State University
","
Ability to collect, evaluate, and interpret data to develop sound conclusions and make appropriate recommendations....","
STEM Research Grant Developer (Administrative Analyst/Specia...
",Los Angeles,"$4,693 - $7,617 a month"
10040,"


    Blue Shield of California
","
Collects, analyzes and synthesizes data; Functions as facilitator and/or mentor for data reporting projects, teams and task forces....","
Health Data Analysis Consultant/Lead
",Los Angeles,
10042,"


    The Aerospace Corporation
","
Ability to reduce and analyze imaging, spectroscopic, and hyperspectral data. The ability to interact successfully in multi-disciplinary technical environment...","
Astronomer / Astrophysicist
",Los Angeles,
10043,"


    ZeroChaos
","
Analyze collected data according to project guidelines. Classify linguistic data into topic and product categories....","
Hindi Translation & Data Analysis
",Los Angeles,$20 an hour
10044,"


    The Boston Consulting Group
","
Big Data Engineers, together with Data Scientists, Scientific Modelers, Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are...","
Lead Analyst - Big Data Development
",Los Angeles,
10045,"


    Riot Games
","
You'll be part of the Insights community at Riot – the group of researchers, analysts, data scientists and strategists responsible for solving problems and...","
Analytics Manager, North America
",Los Angeles,
10046,"


    UCLA David Geffen School of Medicine
","
Experience in computational analyses of large genomic data and functional genomics approaches is highly preferred....","
Post-Doctoral Fellow
",Los Angeles,
10047,"

    University Enterprises, Inc.
","
State Fund’s Information Governance Department is seeking a Student Assistant for an opportunity within the Records Management Office division. Are you an","
Student Assistant- Administrative Research Analyst (Glendale...
",Los Angeles,$13 - $16 an hour
10048,"

    INTERA
","
Interpretation of soil and groundwater data. Analyzing aerial photographs, well logs, and other data sources....","
Water Resources Engineer
",Los Angeles,
10049,"


    Grifols
","
Requires a familiarity with statistical methods for data analysis. Grifols is a global healthcare company whose mission is to improve the health and well-being...","
Principal Scientist - QC Methods Development & Validation
",Los Angeles,
10052,"


    Public Health Institute
","
Assists the Research Coordinator in the development of the Data and Specimen Submission Schedule to ensure the specific requirements of the protocols as...","
Scientific Writer I
",Los Angeles,
10053,"


    General Assembly
","
We are looking for a Data Scientist to teach our brand new full time class:. You are eager to shape the skills, minds, and trajectories of the newest generation...","
Lead Data Science Instructor
",Los Angeles,
10054,"


    Arete Associates
","
Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...","
Research Scientist
",Los Angeles,"$100,000 - $109,000 a year"
10057,"

    CooperGenomics
","
Current or imminent State of California Clinical Laboratory Scientist license.*. We have an exciting opportunity for a Clinical Laboratory Scientist at our Los...","
Clinical Laboratory Scientist
",Los Angeles,"$50,000 - $80,000 a year"
10058,"

    Eurofins Eaton Analytical, Inc.
","
Performing data process, data entry and written documentation. Scientist responsibilities include, but are not limited to, the following :....","
Scientist I - 2nd Shift
",Los Angeles,
10059,"


    Eurofins
","
Performing data process, data entry and written documentation. Scientist responsibilities include, but are not limited to, the following :....","
Scientist I - 2nd Shift
",Los Angeles,
10060,"


    Penn Schoen Berland
","
We are currently looking for top-notch analysts to join our Media & Entertainment team at PSB. Our offices are located in the beautiful Santa Monica region","
Market Research Analyst - Media & Entertainment
",Los Angeles,
10061,"


    USC
","
Develops strategies to bring together data across all of Auxiliary Services and appropriate campus partners for purpose of revenue generation and research....","
Associate Director of Social Media and Digital Marketing
",Los Angeles,
10062,"


    Ipsos North America
","
Love data, consumer decision-making, and puzzles. Would you like to work with a team of passionate problem-solvers dedicated to bringing research insights and...","
Market Research Analyst - Analyst Development Program
",Los Angeles,
10063,"


    The Aerospace Corporation
","
Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Concept development, trade studies, source selections,...","
Spacecraft / Payload Controls Engineer
",Los Angeles,
10064,"


    AT&T
","
If you love data, we’ve got it! No other business has the suite of data we have. We have a dynamic team of seven people focused on customer interactions...","
Senior, Advanced Analytics
",Los Angeles,
10070,"

    Conversion Logic
","
Collaborate with Client Services and Data Scientists to fully leverage the tech stack and data. Are excited by great data visualization....","
Senior Software Engineer
",Los Angeles,
10071,"


    GumGum
","
Work with the Data Engineering team to enhance our existing CV pipeline. We are looking for a Computer Vision Intern with practical experience and an open mind...","
Computer Vision Scientist, Intern
",Los Angeles,
10072,"


    Riot Games
","
As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and...","
Researcher
",Los Angeles,
10074,"

    Originate
","
Deep understanding of data engineering - data pipelines, storage, warehousing, ETL, etc. Build effective data visualizations and dashboards....","
Machine Learning Lead
",Los Angeles,
10076,"


    City Of Hope
","
Works with research professor or staff scientist as protocol statistician. Collaborates with other senior staff in the division in the development and...","
Biostatistician II
",Los Angeles,
10079,"


    Thermo Fisher Scientific
","
General laboratory and office environment, prolonged standing/walking and sitting positions are sometimes required for conducting experiments, data input, and...","
Scientist I, Cell Biology
",Los Angeles,
10081,"


    Cedars-Sinai
","
Analyzes and interprets data. Participate in collecting time-resolved fluorescence data from patients in the operating room....","
Postdoctoral Scientist - Neurosurgery
",Los Angeles,
10082,"

    Rincon Consultants, Inc.
","
Is a highly qualified professional consulting firm comprised of environmental scientists, geologists, engineers, biologists, planners, soil scientists, wetland...","
Qualified SWPPP Developer (QSD)
",Los Angeles,
10083,"


    Kaiser Permanente
","
Operates computerized laboratory data systems/applications. License, Certification, Registration - A current and valid California State Clinical Laboratory...","
Clinical Lab Scientist
",Los Angeles,
10084,"


    EnerSys Delaware Inc.
","
Collecting, analyzing, and distributing data to engineers and scientists. Provide summaries of test data. Compile test data for analysis and input schedules...","
IT/Test Technician
",Los Angeles,
10085,"


    BOEING
","
Skilled scientists and thinkers. Experience with HTML5 Web Applications, Web Services, cloud deployments, UI development, Data Analytics, embedded systems or...","
Software Engineer
",Los Angeles,
10086,"

    Snap Inc.
","
We’re looking for a Data Scientist to join Team Snapchat! Apply your expertise in quantitative analysis, data mining, and presenting data to identify and convey...","
Data Scientist, Revenue Analytics
",Los Angeles,
10087,"

    BuzzFeed for Video Internship/Fellowship/Residency
","
We have offices in 18 cities around the world and more than 1300 employees including reporters, video producers, data scientists, engineers, brand strategists,...","
Video Resident, Style
",Los Angeles,
10089,"


    City Of Hope
","
Responsible for understanding research-related data and how it flows between the following systems:. This position will report to the Director, Research Data...","
Research Business Analyst
",Los Angeles,
10090,"


    The Aerospace Corporation
","
Maintain accurate test data. Experience using data acquisition hardware and software. Maintain test data, provided daily test monitoring....","
MTS- Battery Test Engineer Specialist
",Los Angeles,
10091,"


    Eurofins
","
Performing data processing, data entry and generating reports and documentation to meet client’s needs. Eurofins Eaton Analytical, a nationally recognized...","
QA Chemist II - QA Department
",Los Angeles,
10092,"

    Truven Health Analytics, an IBM Company
","
Previous work history with administrative claims, survey data, or other patient level data preferred. Direct more junior Research Analyst and Research Assistant...","
Senior Research Analyst
",Los Angeles,
10093,"


    USC
","
Will have experience with system administration and software configuration of Linux operating systems including command line utilities, package management,...","
Research Programmer II
",Los Angeles,
10094,"


    Lieberman Research Worldwide (LRW)
","
You’ll work on building a cloud-based integrated data analytics platform to empower our market researchers and data scientists to use disparate data sources to...","
Software Engineer (.NET)
",Los Angeles,
10096,"


    Anthem, Inc.
","
Perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data, identify patterns and correlations among various...","
HealthCare Data Scientist
",Los Angeles,
10098,"


    Thermo Fisher Scientific
","
Run data analysis, interpret data and provide summary reports for R&D development projects. Proven understanding and experience in the fields of genomics,...","
Bioinformatics Staff Software Engineer
",Los Angeles,
10099,"

    Physical Optics
","
Applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic...","
Information Assurance Software Engineer
",Los Angeles,
10102,"

    Beckman Coulter - Diagnostics
","
Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....","
Paralegal I
",Los Angeles,
10103,"


    The Aerospace Corporation
","
Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Our responsibilities include conceptual hardware design...","
Aerospace Structural Engineer
",Los Angeles,
10105,"


    GumGum
","
Experience hiring Software and Big Data, JavaScript Engineers, Front-End Developers, Computer Vision Scientist and Product Managers a plus....","
Technical Recruiter
",Los Angeles,
10106,"

    Provivi Inc.
","
Reports to the Associate Scientist, Entomology. Prepping rearing materials, transferring and collecting insects, filling in data forms, and cleaning reusable...","
Research Assistant, Entomology
",Los Angeles,
10107,"


    The Aerospace Corporation
","
Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Concept development, trade studies, source selections,...","
Spacecraft Controls Engineer
",Los Angeles,
10108,"


    MarketShare
","
Well versed in regression techniques using panel data and time series data. A pragmatic eye toward data verification, ensuring the integrity and appropriateness...","
Sr. Marketing Scientist
",Los Angeles,
10109,"


    Intuit
","
Intuit is looking for an innovative and hands-on Staff Data Scientist of Innovation within the Global Risk Management group....","
Staff Data Scientist of Innovation
",Los Angeles,
10110,"


    MarketShare
","
Well versed in using SQL to process/extract data from data processing platforms. Marketing Scientist - Attribution Analytics....","
Marketing Scientist, Attribution Analytics
",Los Angeles,
10111,"


    UCLA Health
","
Current California Clinical Laboratory Scientist license. Utilize various computer systems and databases to enter, retrieve and compile data, complete patient...","
Clinical Laboratory Scientist
",Los Angeles,
10116,"


    BOEING
","
Skilled scientists and thinkers. Must handle confidential data with maturity and integrity. Seal Beach,California,United States....","
Litigation Paralegal
",Los Angeles,
10117,"


    Jet Propulsion Laboratory
","
Numerical analysis, data analysis, mathematical modeling. Strong ability to communicate with a wide range of internal and external interfaces (i.e., NASA and...","
Lead Radiation Systems Engineer IV
",Los Angeles,
10118,"


    USC
","
Will have knowledge of system administration and software configuration of Linux, Solaris and Mac operating systems including security monitoring, data transfer...","
Research Programmer II
",Los Angeles,
10120,"

    Kite Pharma, Inc.
","
Ability to critically analyze individual and aggregate safety data with scientific rigor. The Safety Scientist is responsible for or supports various...","
Senior Pharmacovigilance Scientist
",Los Angeles,
10121,"


    Jet Propulsion Laboratory
","
Experience developing, consuming and versioning RESTful APIs and the use of JSON data interchange messaging. You will be asked to bring as much creativity and...","
Enterprise Applications Software Engineer III
",Los Angeles,
10122,"


    Childrens Hospital Los Angeles
","
The Clinical Research Financial Analyst will be responsible for the financial management of the clinical trials of The Saban Research Institutes (TSRI). These","
Clinical Research Finance Analyst
",Los Angeles,
10124,"


    UDig
","
Common tasks involve data mapping, identification and application of business rules to data sets and resolving varying date granularitiesGaining team consensus...","
Sr. Data Analyst - Marketing analytics experience desired
",Los Angeles,"$100,000 - $125,000 a year"
10125,"


    Sony Pictures Entertainment Inc.
","
Must have experience with big data and standardizing/ appending variables across disparate data sets. Managing the ingestion and cleansing of large data sets...","
Data Scientist
",Los Angeles,
10126,"


    The Aerospace Corporation
","
Coordinate data requirements and findings with staff experts in other disciplines. Our state-of-the-art laboratory facilities are staffed by some of the leading...","
Space Structures Engineering Specialist
",Los Angeles,
10127,"


    The Boston Consulting Group
","
Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Geospatial Analysts are the core of the new Analytics Solutions service....","
Lead Analyst - Automation & Programming
",Los Angeles,
10129,"


    Cedars-Sinai
","
One year full-time experience in histopathology or immunopathology under the supervision of a certified pathologist or an appropriately certified medical...","
Histologist - Per Diem
",Los Angeles,
10131,"


    The Boston Consulting Group
","
Big Data Engineers, together with Data Scientists, Scientific Modelers, Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are...","
Analyst - Big Data Development
",Los Angeles,
10132,"

    Roc Search US
","
Chris Blakey 512-649-1070 c.blakey@roc-search.usSenior Data Scientist - Los Angeles. (Roc Search, Web, Ruby, Ruby on Rails, Rails, HTML, CSS, DevOps, JavaScript...","
Senior Data Scientist - Los Angeles
",Los Angeles,
10133,"

    Applied Minds, LLC
","
Experience with MapReduce, Big Data Processing, Machine Learning/Neural Networks, Advanced Data Analytics....","
Software Architect
",Los Angeles,
10134,"


    CDK Global
","
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....","
Regional Dir, Inventory Services - West Region
",Los Angeles,
10135,"

    BuzzFeed for Video Internship/Fellowship/Residency
","
We have offices in 18 cities around the world and more than 1300 employees including reporters, video producers, data scientists, engineers, brand strategists,...","
Production Intern
",Los Angeles,
10136,"


    AstraZeneca
","
Experience working with Medical Information Scientists (MIS). You will provide timely and administrative management of work hours, sales data, customer...","
Pharmaceutical Sales Specialist
",Los Angeles,
10137,"


    The Aerospace Corporation
","
Indivitual works as part of a success-trio with the project systems engineer and project scientist. Provide appropriate cost and schedule data to business...","
Aerospace Hardware Project Leader
",Los Angeles,
10138,"

    Kenra Professional, LLC
","
Ability to translate brand needs/wants to independent R&D scientists. Conduct on-site quality testing procedures supervised by project lead for performance data...","
Liquids Open R &D Innovation Manager
",Los Angeles,
10139,"


    David Geffen School of Medicine at UCLA
","
A physician's presence is required, complex equipment is used (MRI scanners, power injectors, pulse oximetry devices 3D workstations for post processing of scan...","
Sr. MRI Technologist
",Los Angeles,
10141,"

    BuzzFeed for Video Internship/Fellowship/Residency
","
We have offices in 19 cities around the world and more than 1500 employees including reporters, video producers, data scientists, engineers, brand strategists,...","
Freelance Video Strategist
",Los Angeles,
10142,"

    The Camstoll Group
","
Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and...","
Japanese Open Source Research Analyst
",Los Angeles,
10143,"

    The Camstoll Group
","
Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and...","
Farsi Open Source Research Analyst
",Los Angeles,
10144,"


    Kaiser Permanente
","
Works under the supervision of a R&E Research Scientist. Seeks consultation from research scientists for specific scientific and administrative issues....","
Post-Doctoral Fellow - Vaccine Safety & Effectiveness Resear...
",Los Angeles,
10145,"


    Phenomenex
","
The scientist will work with R&D scientists, supervisors as well as product managers and production chemists in developing advanced polymer materials in the...","
Research Scientist III Polymers Synthesis
",Los Angeles,
10146,"


    Netflix
","
Batch-driven ETL over distributed data (e.g. Experience with its data science libraries is a plus. Build software and social glue between engineers, scientists,...","
Senior Data Engineer, Content Analytics
",Los Angeles,
10148,"

    Rincon Consultants, Inc.
","
Rincon was founded in 1994 and is currently staffed by more than 90 archaeologists, paleontologists, botanists, wildlife biologists, wetland scientists,...","
Archaeologist
",Los Angeles,
10149,"


    Los Angeles County Department of Human Resources
","
Option I - Two (2) years of experience as a Clinical Laboratory Scientist II**. **Supervising Clinical Laboratory Scientist I in the County of Los Angeles is...","
SUPERVISING CLINICAL LABORATORY SCIENTIST II
",Los Angeles,"$79,884 - $104,772 a year"
10150,"


    Kaiser Permanente
","
This candidate will be working with clinical scientists and a revolutionary curriculum. It offers the unique opportunity to have access to the people, data, and...","
Assistant Dean of Medical Education - KP School of Medicine...
",Los Angeles,
10151,"


    UCLA Health
","
Pipetting, computer data entry. A current California Clinical Laboratory Scientist License. Record and review data for accuracy, completeness, and suitability....","
Clinical Laboratory Scientist, Per Diem
",Los Angeles,
10152,"


    UCLA Health
","
Computer data entry). Record and review data for accuracy, completeness, and suitability. A current California Clinical Laboratory Scientist License or...","
Clinical Lab Scientist
",Los Angeles,
10153,"

    Diagnostic Laboratories & Radiology.
","
Data Innovations Middleware. Clinical Laboratory Scientist, Generalist. Diagnostic Laboratories & Radiology....","
Clinical Application Spec
",Los Angeles,
10154,"

    Los Angeles County Department of Human Resources
","
Clinical Laboratory Scientist, Limited Clinical Laboratory Scientist, Clinical Microbiologist Scientist License, or Public Health Microbiologist Certificate...","
MEDICAL TECHNOLOGIST, LABORATORY INFORMATION SYSTEMS
",Los Angeles,"$76,804 - $100,726 a year"
10155,"

    Thermo Fisher Scientific
","
The Scientist I, Manufacturing Sciences will perform Antibody Detection Preproduction processes. Assist with all aspects of receiving and quality control...","
Scientist I, Manufacturing Sciences
",Los Angeles,
10156,"

    Raytheon
","
Candidates have the opportunity to work alongside and be mentored by the best and the brightest engineers and scientists who are providing radar and sensor...","
Principal Software Engineer
",Los Angeles,
